id,title,url,time,content
1,靳东王鸥同框,http://cache.baiducontent.com/c?m=9f65cb4a8c8507ed4fece763104a8023584380146bd7d1027fa3c2148e2f1c1f107be3b924290704a5c67c7001d9495af7f034713c7220b199ca884ad9ac925f75ce786a6459db0144dc0edfbd5151ca37e05efedc69f0bb8025e2d8c5a7d84322cd44757097f1fb4d7162dd1c81033093b1e93c022b10&p=9e769a4786cc40aa02f187685250&newp=882a9440ccdb1add1abe9b7c4b4292695912c10e3dd2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b553aafc0baca&user=baidu&fm=sc&query=%BD%F9%B6%AB%CD%F5%C5%B8%CD%AC%BF%F2&qid=b0685c060000d14e&p1=2,2019/12/24 11:45,今天《精英律师》更新，其中王鸥上线与靳东同框引众多网友回忆杀，这次她饰演的是靳东的前女友，一句“难道这么多年，你一直没放下我吗?”交代他们之间有着非常深厚的感情，也交代剧中靳东是被王鸥甩了，网友调侃：风水轮流转，天道好轮回，苍天绕过谁?回忆杀来了！靳东王鸥同框互相伤害这么多年却一直没放下对方？
2,波音CEO辞职,http://www.baidu.com/link?url=3sWJbKeTArp29bQYBiCWN4j7qp-Z9xnpniU6ZyUrHXAHEpAVO081reVji2fzeD1bFrZ4oV_q4prz0f3uSE3-nK,2019/12/24/ 07:53:01,当地时间23日，美国最大制造业出口商波音公司在官网发布《领导层人事调整》声明。根据声明，波音公司原首席执行官（CEO）丹尼斯·米伦伯格（DennisA.Muilenburg）辞职，董事长戴夫·卡尔霍恩（DaveCalhoun）将于明年1月13日正式接替CEO职务。波音官网声明在短暂的过渡期内，波音公司首席财务官史密斯（GregSmith）将担任临时CEO，卡尔霍恩则将辞去与波音公司无关的职务。卡尔霍恩仍将属于董事会成员。
3,徐子珊退出娱乐圈,http://cache.baiducontent.com/c?m=9f65cb4a8c8507ed19fa950d100b8b315c1597634b868a4e23878448e435061e5a27beea7c714e5185d87f6503ad4b5feefb2b7235002bb49bc88e57dcbe952c258b2c3f671bf2124c8d0eafbc1c639e7e841fb4ef4fe8ad863084d9a3c4a95144bc52120b8be7fb291715ba7881622692d68e38144864befa3115e82f763ee82857c745ee96367906f1e1ac565bb02e&p=9961c45da4d912a05abd9b7f0e53&newp=8b2a9706c09450ff57ec9738545192695912c10e36d2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5563a1ccd9&user=baidu&fm=sc&query=%D0%EC%D7%D3%C9%BA%CD%CB%B3%F6%D3%E9%C0%D6%C8%A6&qid=ee98284800010c81&p1=2,2019/12/24 10:31,据香港媒体报道，近年热衷心理学的TVB前花旦徐子珊，半年前获硕士名衔，为继续追梦，甘愿放弃经营多年的演艺事业。近日，徐子珊在接受媒体采访时，宣布退出娱乐圈！她坦言，过去多年似为“形象”而活，失去自我，加上性格缺陷令人际关系有障碍，故决定40岁送自己一份勇气，移居欧洲生活兼进修，借此寻找真正的自己，并开始卖车、卖豪宅。徐子珊宣布退出娱乐圈港姐出身的徐子珊，15年来于歌影视三栖发展，成绩不俗。
4,26日上演金环日食,http://www.baidu.com/link?url=4OT8f9bcxuWiXZFQetEMTH4VeKv1rpISQoYtONQ4jRs9V_I7hmjYMPc1Y8hCEQalwlwwbrKi_Fw0PzbjDPIvVa,2019/12/23 17:48,2019年12月26日将发生一场日环食天象，该天象是2019年最后一场天象，值得我们去期待，那么日环食是什么原理现象呢？什么时候发生？最佳观赏点在哪里呢？那么下面就由星座知识为大家揭晓下吧！
5,冬至饺子,http://cache.baiducontent.com/c?m=9f65cb4a8c8507ed4fece763105392230e54f7396b87874e68d4e41dce204c413037bfa67d75405388d87f640aae4c5aecf02b71350627b39cc38f57deb9972f2b8c27306d1f804419d31ea9c05b7e9d76c710feaf6ebdfcaf6c87eb8f93895b44ba571209f1e7fd5e1765c978f1642693d08e391f4866bffa4664&p=8b2a971c95934eae5baad13d1300&newp=cb36c416d9c115ff57ec972c154092695912c10e36d2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5574&user=baidu&fm=sc&query=%B6%AC%D6%C1%BD%C8%D7%D3&qid=db8fff130000ef1f&p1=2,2019/12/23 0:00,“冬至到，吃饺子。”12月22日中午，在丰润区姜家营乡杨家铺村委会院内，志愿者与孤寡老人、低保户、贫困户等欢聚一堂包饺子、吃饺子、叙情谊。“忒好哇，感谢志愿者！”孤寡老人侯亚新高兴地说。
6,VG 夺冠,http://www.baidu.com/link?url=Fo0n7DQLHibP4hEVfU91iyBRz7L3vfJAQ1aoiVdw1HqBlsJSd-PFlsoZGAik7neZUrYMU7fGrgFca3LlvWe_Ma,2019/12/23 10:33,“CNDOTANEVERDIE!”这是VG战队rOtk在夺冠采访中的霸气回答。在DOTA2新加坡世界职业邀请赛总决赛BO5中，VG战队3:0EG，拿下了本次比赛的冠军，并获得20万美元的奖金。VG夺冠是怎么回事？
7,王思聪被执行和解,http://cache.baiducontent.com/c?m=9d78d513d9d430d94f9993690c66c0176943f0122ba7d6020ea08449e3732b42501693ac26520772d7d20c6116d94b4b9cf22173471450c48cb9fe5dadcd855f2f9c60742e13dc07549158b8ca3538dc7cc71fa8b81990ebaa69cffdc5d3a8050e954e4427d1abd8045542d76cf21633e1a59d43085f12b9e63365ff5f6a289a2444bc40ffe1256e70dbb08202&p=b47ad10785cc43ff57eb96605a42&newp=8c6cc215d9c543b30be296294d0a92695912c10e3ad5c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b553c&user=baidu&fm=sc&query=%CD%F5%CB%BC%B4%CF%B1%BB%D6%B4%D0%D0%BA%CD%BD%E2&qid=fd7d3bca000101c4&p1=2,2019/12/24 11:14,王思聪在北京涉及的被执行案件又有新进展。12月24日，红星新闻记者从北京市第二中级法院获知，嘉兴璟字悌为股权投资基金合伙企业（有限合伙）申请执行珺娱（湖州）文化发展中心、王思聪仲裁纠纷一案，已在该院和解解决。今年11月4日，由于上述申请执行仲裁纠纷，王思聪被北京市第二中级法院（以下简称北京二中院）列为被执行人，执行标的1.5亿余元。中国执行信息公开网查询显示，法院在11月19日向王思聪下达了限制消费令。
8,刘銮雄太太消费,http://cache.baiducontent.com/c?m=9d78d513d9d430ac4f9993697912c0171c43f6612ba1a0027ea48439e2732831501792ac54520705a3d20d1316db394b9af52104341767f7c5c7d20c9bf985295c953a6b671cf1004f895eb8cb31749c7f8d09f4ae1de7baf53999acd6c4d82050ca51037a8bfb815c&p=b4769a47c8861ab10dbd9b7e7f&newp=882a950485cc43b50fa28c6f1e53d8265f15ed6328818b783b83d309c839074e4765e7b121251707d7ce68216cee1e1ee5a76a2476&user=baidu&fm=sc&query=%C1%F5%F6%C7%D0%DB%CC%AB%CC%AB%CF%FB%B7%D1&qid=d033139d00007326&p1=2,2019/12/24 11:26,近日，刘銮雄太太消费引起网友热议，最近刘銮雄的太太甘比现身商场购物，短短半小时就消费六位数，令不少人咋舌，来看看到底是怎么回事?刘銮雄太太消费12月23日，刘銮雄太太消费登上热搜，近日，刘銮雄的太太甘比现身某奢侈品店疯狂购物，保镖分三趟才将她购买到的战利品送上车，目测消费了近六位数。从图中可以看到，甘比的保镖在奢侈品店进进出出，仿若搬运工，据悉，甘比此次购物以名牌包为主。此次，刘銮雄太太甘比到奢侈品店所购物的商品，保镖需要分三趟才将购买到的战利品送上车。
9,卡舒吉遇害案进展,http://www.baidu.com/link?url=BeVf8_nLTojFPti4Xm3xZK_slvwOpfGHicUw1s53gC12Oo-svzsrFA6GC5nU5dKSD2gT4U7qHSAufCa0tFcCyerUfOqMJRkkMKTcUOz_dee,2019/12/24 8:39,沙特阿拉伯总检察院23日说，沙特记者卡舒吉遇害案5名涉案人员被判处死刑。卡舒吉的资料照片新华社/美联沙特总检察院当天发布声明说，利雅得刑事法庭对5名直接参与谋杀卡舒吉的男子判处死刑，3人因涉案被判处24年有期徒刑，另有3人被判无罪。声明说，涉案的沙特前情报总局副局长艾哈迈德·阿西里因证据不足被释放。曾担任沙特王室顾问的萨乌德·卡赫塔尼虽接受了调查，但未受到任何指控。
10,星际客机首飞失利,http://cache.baiducontent.com/c?m=9f65cb4a8c8507ed19fa950d100b8b315c1597634b8a8c4b2488c45f93131a1b506694ea7b3f4c539684613251b21801b6b6612e711e20b598c39f4aabb892352f893a652d40c0164e950ea8bf4d23c524935febb81990e0b66d87eb8f93895b44bc51120b85e7fb2b1765b978f1642693d28e39634860cafa4416e858073eee5057c042ee903779768ae1dc2c5bb259c7121480de37a74a62&p=84759a45d38303f90be296201e55&newp=9c3fda07c8934eaf5db0c7710f4292695912c10e36d6c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b557d&user=baidu&fm=sc&query=%D0%C7%BC%CA%BF%CD%BB%FA%CA%D7%B7%C9%CA%A7%C0%FB&qid=e1669aff000634e7&p1=2,2019/12/23 8:56,美国波音公司载人飞船“星际客机”（CST-100Starliner）的首次试飞尽管出师不利，未能按计划与国际空间站对接，但最终在北京时间22日晚间成功降落在新墨西哥州的美军白沙导弹靶场附近，为波音公司挽回了最后颜面。但对于美国而言，寄予厚望的波音“星际客机”与太空探索技术公司（SpaceX公司）的载人“龙”飞船研制均遭遇挫折，美国航天员前往国际空间站的旅途仍不得不受制于俄罗斯。视频截图据美国太空网站介绍，作为美国新一代载人太空飞船，“星际客机”于20日搭乘“阿特拉斯-5”号火箭升空，开始了第一次不载人测试飞行。它原先准备于21日与国际空间站对接，向空间站运送约270公斤补给和设备，并带回部分研究样品，最终于28日返回地球。
